screen_name,text,created_at,source,user_source,hour,with_photo,with_url,media,hashtag,raw_text,scores,compound,sentiment
KingJames,"Nah we ain’t letting it slow down!! No Sir, Not Me 🗣🗣🗣🗣🗣. Somebody know something for sure. #JUSTICE4Nakia 👸🏽 https://t.co/ZrscZ2Sk47",2020-06-17 01:15:36+00:00,iPhone,KingJames | iPhone,1,No,Yes,without Image/URL,1,Nah we ain t letting it slow down No Sir Not Me Somebody know something for sure #JUSTICE4Nakia ,"{'neg': 0.178, 'neu': 0.724, 'pos': 0.098, 'compound': -0.2225}",-0.2225,negative
KingJames,Breaks my Heart!! 😢😢😢😢💔 https://t.co/wKLDonZ9sC,2020-06-16 05:56:55+00:00,iPhone,KingJames | iPhone,5,No,Yes,without Image/URL,0,Breaks my Heart ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐 https://t.co/0VytjwQDPw,2020-06-16 04:01:16+00:00,iPhone,KingJames | iPhone,4,No,Yes,without Image/URL,0, ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,VERY STRONG!! Salute ✊🏾. #BLM👑 https://t.co/W1rcowkGl6,2020-06-16 01:12:09+00:00,iPhone,KingJames | iPhone,1,No,Yes,without Image/URL,1,VERY STRONG Salute #BLM ,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.7679}",0.7679,positive
KingJames,@RexChapman BEYOND EMBARRASSING!!!!!! Dont make no damn sense! 🤦🏾‍♂️😢😢,2020-06-15 20:11:33+00:00,iPhone,KingJames | iPhone,20,No,No,without Image/URL,0,@RexChapman BEYOND EMBARRASSING Dont make no damn sense ,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.6501}",0.6501,positive
KingJames,"Until You Understand The History of what’s been going on to US in America, then you’ll never understand why We are in Pain til this day! https://t.co/9TuC8yOFV2",2020-06-15 19:49:52+00:00,iPhone,KingJames | iPhone,19,No,Yes,without Image/URL,0,Until You Understand The History of what s been going on to US in America then you ll never understand why We are in Pain til this day ,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.5562}",-0.5562,negative
KingJames,RT @IPROMISESchool: Geonte is not only ready to lead the @IPROMISESchool as a 6th grader... he’s ready to lead and be part of the change in…,2020-06-13 16:16:55+00:00,iPhone,KingJames | iPhone,16,No,No,without Image/URL,0,RT @IPROMISESchool Geonte is not only ready to lead the @IPROMISESchool as a 6th grader he s ready to lead and be part of the change in ,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.4973}",-0.4973,negative
KingJames,And I wanna say THANK YOU @Chiney321!! Love you 🙏🏾✊🏾❤️👑 #MoreThanAVote #BlackQueensandKings https://t.co/k0su66Kdlx,2020-06-13 04:58:29+00:00,iPhone,KingJames | iPhone,4,No,Yes,without Image/URL,2,And I wanna say THANK YOU @Chiney321 Love you #MoreThanAVote #BlackQueensandKings ,"{'neg': 0.0, 'neu': 0.555, 'pos': 0.445, 'compound': 0.8409}",0.8409,positive
KingJames,"🙏🏾 @KendrickPerkins, @DaTrillStak5, @BunBTrillOG.  We just getting started.  #MoreThanaVote ✊🏾💪🏾👑 https://t.co/r8a9DnepGw",2020-06-12 17:02:28+00:00,iPhone,KingJames | iPhone,17,No,Yes,without Image/URL,1, @KendrickPerkins @DaTrillStak5 @BunBTrillOG We just getting started #MoreThanaVote ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,BIG S/O @BubbaWallace!! 🤜🏻🤛🏾👑 https://t.co/0zIlidbQOi,2020-06-10 17:06:52+00:00,iPhone,KingJames | iPhone,17,No,Yes,without Image/URL,0,BIG S O @BubbaWallace ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,Everyone talking about “how do we fix this?”  They say “go out and vote?”  What about asking if how we vote is also structurally racist? https://t.co/GFtq12eKKt,2020-06-09 19:08:47+00:00,iPhone,KingJames | iPhone,19,No,Yes,without Image/URL,0,Everyone talking about how do we fix this They say go out and vote What about asking if how we vote is also structurally racist ,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.6747}",-0.6747,negative
KingJames,Can’t Wait!! Less than an hour away. 🙏🏾💪🏾✊🏾👑 https://t.co/Se7tX4Omrl,2020-06-09 00:04:55+00:00,iPhone,KingJames | iPhone,0,No,Yes,without Image/URL,0,Can t Wait Less than an hour away ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,🗣🗣🗣🗣🗣🗣🗣🗣🗣. Kimberly I’m here for you!!!! And more importantly I hear you and will make change for US!! I will not stop until I see it. 🙏🏾💪🏾✊🏾❤️👑 #BlackLivesMatter🖤https://t.co/2unEziTQ7c,2020-06-06 02:12:40+00:00,iPhone,KingJames | iPhone,2,No,Yes,without Image/URL,1, Kimberly I m here for you And more importantly I hear you and will make change for US I will not stop until I see it #BlackLivesMatter,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6857}",0.6857,positive
